"Timestamp","الحي السكني","معدل الاستهلاك الشهري بالريال (تقريبا)","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [ثلاجة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [فريزر]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مكيف]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [تلفاز]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [انارة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مايكروايف]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [فرن]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [غسالة ملابس]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [غسالة صحون]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مكنسة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [برادة المياه]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [دفاية]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [كاوية ملابس]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [سخان مياه]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [مروحة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [توستر]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [الغلاية]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [صانع قهوة]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [خلاط]","ماهي الفترات الزمنية التي يعمل خلالها الجهاز؟ [كمبيوتر]","كم عدد الأجهزة في المنزل من نفس النوع؟ [ثلاجة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [فريزر]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مكيف]","كم عدد الأجهزة في المنزل من نفس النوع؟ [تلفاز]","كم عدد الأجهزة في المنزل من نفس النوع؟ [انارة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مايكروايف]","كم عدد الأجهزة في المنزل من نفس النوع؟ [فرن]","كم عدد الأجهزة في المنزل من نفس النوع؟ [غسالة ملابس]","كم عدد الأجهزة في المنزل من نفس النوع؟ [غسالة صحون]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مكنسة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [برادة المياه]","كم عدد الأجهزة في المنزل من نفس النوع؟ [دفاية]","كم عدد الأجهزة في المنزل من نفس النوع؟ [كاوية ملابس]","كم عدد الأجهزة في المنزل من نفس النوع؟ [سخان مياه]","كم عدد الأجهزة في المنزل من نفس النوع؟ [مروحة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [توستر]","كم عدد الأجهزة في المنزل من نفس النوع؟ [الغلاية]","كم عدد الأجهزة في المنزل من نفس النوع؟ [صانع قهوة]","كم عدد الأجهزة في المنزل من نفس النوع؟ [خلاط]","كم عدد الأجهزة في المنزل من نفس النوع؟ [كمبيوتر]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [ثلاجة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [فريزر]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مكيف]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [تلفاز]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [انارة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مايكروايف]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [فرن]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [غسالة ملابس]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [غسالة صحون]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مكنسة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [برادة المياه]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [دفاية]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [كاوية ملابس]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [سخان مياه]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [مروحة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [توستر]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [الغلاية]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [صانع قهوة]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [خلاط]","ماهو متوسط عدد ساعات التشغيل في اليوم؟ [كمبيوتر]"
"2025/11/10 4:00:56 PM GMT+3","الجامعة","600","طوال اليوم","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","طوال اليوم","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","طوال اليوم","2","3","أكثر من 5","2","أكثر من 5","1","1","1","1","1","1","3","2","4","أكثر من 5","2","2","1","2","5","أكثر من 5","أكثر من 5","أكثر من 5","4","أكثر من 5","1","2","3","1","1","أكثر من 5","أكثر من 5","1","أكثر من 5","3","1","2","2","2","أكثر من 5"
"2025/11/10 4:20:51 PM GMT+3","السويدي","1000","طوال اليوم","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","فجرا (من 12 الى 6)","2","5","4","1","5","1","1","1","1","1","1","3","1","3","1","1","1","1","1","4","أكثر من 5","أكثر من 5","أكثر من 5","3","أكثر من 5","1","1","2","1","1","أكثر من 5","3","1","أكثر من 5","3","1","1","1","1","4"
"2025/11/10 4:21:10 PM GMT+3","لبن","500","طوال اليوم","طوال اليوم","فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","1","1","3","1","أكثر من 5","1","1","2","1","1","1","1","1","1","3","1","1","1","2","4","أكثر من 5","أكثر من 5","أكثر من 5","3","5","1","2","2","2","1","أكثر من 5","3","1","4","أكثر من 5","1","1","2","1","أكثر من 5"
"2025/11/10 5:08:03 PM GMT+3","‏المدينة جديدة","1000","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","2","2","2","2","2","2","2","2","2","2","2","3","1","3","2","2","2","2","3","2","2","2","3","2","4","2","4","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2025/11/10 5:08:05 PM GMT+3","المربع","700","طوال اليوم","طوال اليوم","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","طوال اليوم","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","1","1","4","1","أكثر من 5","1","1","1","1","1","1","1","1","1","3","1","1","1","1","2","أكثر من 5","أكثر من 5","أكثر من 5","5","أكثر من 5","1","1","2","2","1","أكثر من 5","5","1","أكثر من 5","3","1","1","1","1","أكثر من 5"
"2025/11/10 5:08:23 PM GMT+3","النهضه","450-700","طوال اليوم","طوال اليوم","بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","طوال اليوم","مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","2","3","أكثر من 5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5"
"2025/11/10 5:09:56 PM GMT+3","المهندسي","500","طوال اليوم","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","فجرا (من 12 الى 6)","فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","طوال اليوم","فجرا (من 12 الى 6)","فجرا (من 12 الى 6)","طوال اليوم","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);فجرا (من 12 الى 6)","1","2","4","2","أكثر من 5","1","1","1","1","1","1","1","2","2","1","1","1","1","3","2","أكثر من 5","أكثر من 5","5","4","أكثر من 5","1","1","1","1","1","1","1","1","أكثر من 5","1","1","1","1","1","أكثر من 5"
"2025/11/10 5:10:37 PM GMT+3","حي الريان بشرق الرياض ","500","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12);مساءً (من 6 الى 12)","2","1","4","2","4","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","4","4","4","4","4","2","2","4","1","2","4","4","2","4","1","1","2","2","2","1"
"2025/11/10 5:13:38 PM GMT+3","السحاب ","900","طوال اليوم","طوال اليوم","مساءً (من 6 الى 12);فجرا (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12);فجرا (من 12 الى 6)","صباحا (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12)","صباحا (من 6 الى 12)","طوال اليوم","صباحا (من 6 الى 12)","بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12)","صباحا (من 6 الى 12);بعد ظهر (من 12 الى 6);مساءً (من 6 الى 12);فجرا (من 12 الى 6)","1","2","أكثر من 5","3","أكثر من 5","1","1","1","1","1","1","4","1","3","1","1","1","1","1","1","أكثر من 5","أكثر من 5","أكثر من 5","5","أكثر من 5","1","1","3","1","2","أكثر من 5","4","1","أكثر من 5","1","1","1","1","1","أكثر من 5"
"2025/11/10 5:14:43 PM GMT+3","مشرف","2500","طوال اليوم","طوال اليوم","طوال اليوم","طوال اليوم","فجرا (من 12 الى 6)","مساءً (من 6 الى 12)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","مساءً (من 6 الى 12)","فجرا (من 12 الى 6)","طوال اليوم","بعد ظهر (من 12 الى 6)","فجرا (من 12 الى 6)","طوال اليوم","بعد ظهر (من 12 الى 6)","بعد ظهر (من 12 الى 6)","مساءً (من 6 الى 12)","طوال اليوم","بعد ظهر (من 12 الى 6)","فجرا (من 12 الى 6)","1","2","أكثر من 5","3","أكثر من 5","1","2","1","1","1","1","2","2","أكثر من 5","1","1","1","1","1","4","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","أكثر من 5","1","2","3","1","1","أكثر من 5","1","1","4","1","1","1","1","1","4"
